error, , MotorOutput (kP * error), Distance, kP, SetPoint, 
, 9.659060838930733, 0.6761342587251514, 0.3409391610692673, 0.07, 10.0, 
, 9.659060838930733, 0.6761342587251514, 0.3409391610692673, 0.07, 10.0, 
, 9.659060838930733, 0.6761342587251514, 0.3409391610692673, 0.07, 10.0, 
, 9.659060838930733, 0.6761342587251514, 0.3409391610692673, 0.07, 10.0, 
, 9.659060838930733, 0.6761342587251514, 0.3409391610692673, 0.07, 10.0, 
, 9.659442629704607, 0.6761609840793226, 0.34055737029539357, 0.07, 10.0, 
, 9.659442629704607, 0.6761609840793226, 0.34055737029539357, 0.07, 10.0, 
, 9.659442629704607, 0.6761609840793226, 0.34055737029539357, 0.07, 10.0, 
, 9.662115165121723, 0.6763480615585207, 0.33788483487827725, 0.07, 10.0, 
, 9.662115165121723, 0.6763480615585207, 0.33788483487827725, 0.07, 10.0, 
, 9.563994936236167, 0.6694796455365317, 0.43600506376383347, 0.07, 10.0, 
, 9.563994936236167, 0.6694796455365317, 0.43600506376383347, 0.07, 10.0, 
, 9.563994936236167, 0.6694796455365317, 0.43600506376383347, 0.07, 10.0, 
, 9.664024118991092, 0.6764816883293765, 0.3359758810089084, 0.07, 10.0, 
, 9.664024118991092, 0.6764816883293765, 0.3359758810089084, 0.07, 10.0, 
, 9.666696654408208, 0.6766687658085746, 0.33330334559179214, 0.07, 10.0, 
, 9.666696654408208, 0.6766687658085746, 0.33330334559179214, 0.07, 10.0, 
, 9.666696654408208, 0.6766687658085746, 0.33330334559179214, 0.07, 10.0, 
, 9.667078445182081, 0.6766954911627457, 0.33292155481791835, 0.07, 10.0, 
, 9.667078445182081, 0.6766954911627457, 0.33292155481791835, 0.07, 10.0, 
, 9.668987399051451, 0.6768291179336017, 0.33101260094854956, 0.07, 10.0, 
, 9.668987399051451, 0.6768291179336017, 0.33101260094854956, 0.07, 10.0, 
, 9.668987399051451, 0.6768291179336017, 0.33101260094854956, 0.07, 10.0, 
, 9.673568888337936, 0.6771498221836556, 0.3264311116620644, 0.07, 10.0, 
, 9.673568888337936, 0.6771498221836556, 0.3264311116620644, 0.07, 10.0, 
, 9.773979861866735, 0.6841785903306715, 0.2260201381332657, 0.07, 10.0, 
, 9.773979861866735, 0.6841785903306715, 0.2260201381332657, 0.07, 10.0, 
, 9.773979861866735, 0.6841785903306715, 0.2260201381332657, 0.07, 10.0, 
, 9.6770050053028, 0.677390350371196, 0.32299499469720055, 0.07, 10.0, 
, 9.6770050053028, 0.677390350371196, 0.32299499469720055, 0.07, 10.0, 
, 9.679677540719915, 0.6775774278503941, 0.3203224592800843, 0.07, 10.0, 
, 9.679677540719915, 0.6775774278503941, 0.3203224592800843, 0.07, 10.0, 
, 9.679677540719915, 0.6775774278503941, 0.3203224592800843, 0.07, 10.0, 
, 9.682731866910906, 0.6777912306837635, 0.3172681330890942, 0.07, 10.0, 
, 9.682731866910906, 0.6777912306837635, 0.3172681330890942, 0.07, 10.0, 
, 9.685404402328022, 0.6779783081629616, 0.31459559767197787, 0.07, 10.0, 
, 9.685404402328022, 0.6779783081629616, 0.31459559767197787, 0.07, 10.0, 
, 9.685404402328022, 0.6779783081629616, 0.31459559767197787, 0.07, 10.0, 
, 9.593011035050573, 0.6715107724535402, 0.4069889649494276, 0.07, 10.0, 
, 9.593011035050573, 0.6715107724535402, 0.4069889649494276, 0.07, 10.0, 
, 9.69036768238838, 0.6783257377671867, 0.309632317611619, 0.07, 10.0, 
, 9.69036768238838, 0.6783257377671867, 0.309632317611619, 0.07, 10.0, 
, 9.69036768238838, 0.6783257377671867, 0.309632317611619, 0.07, 10.0, 
, 9.692658427031624, 0.6784860898922137, 0.3073415729683765, 0.07, 10.0, 
, 9.692658427031624, 0.6784860898922137, 0.3073415729683765, 0.07, 10.0, 
, 9.692658427031624, 0.6784860898922137, 0.3073415729683766, 0.07, 10.0, 
, 9.692658427031624, 0.6784860898922137, 0.3073415729683766, 0.07, 10.0, 
, 9.692658427031624, 0.6784860898922137, 0.3073415729683766, 0.07, 10.0, 
, 9.697621707091983, 0.6788335194964389, 0.30237829290801765, 0.07, 10.0, 
, 9.697621707091983, 0.6788335194964389, 0.30237829290801765, 0.07, 10.0, 
, 9.702966777926214, 0.6792076744548351, 0.297033222073785, 0.07, 10.0, 
, 9.702966777926214, 0.6792076744548351, 0.297033222073785, 0.07, 10.0, 
