error, MotorOutput (kP * error), Distance, kP, SetPoint, 
, 10.0, 0.7000000000000001, 0.0, 0.07, 10.0, 
, 10.0, 0.7000000000000001, 0.0, 0.07, 10.0, 
, 10.0, 0.7000000000000001, 0.0, 0.07, 10.0, 
, 10.0, 0.7000000000000001, 0.0, 0.07, 10.0, 
, 9.969074947316226, 0.6978352463121359, 0.030925052683774525, 0.07, 10.0, 
, 9.969074947316226, 0.6978352463121359, 0.030925052683774525, 0.07, 10.0, 
, 9.969074947316226, 0.6978352463121359, 0.030925052683774525, 0.07, 10.0, 
, 9.864464275274816, 0.6905124992692372, 0.13553572472518466, 0.07, 10.0, 
, 9.864464275274816, 0.6905124992692372, 0.13553572472518466, 0.07, 10.0, 
, 9.71976557197666, 0.6803835900383663, 0.28023442802333953, 0.07, 10.0, 
, 9.71976557197666, 0.6803835900383663, 0.28023442802333953, 0.07, 10.0, 
, 9.71976557197666, 0.6803835900383663, 0.28023442802333953, 0.07, 10.0, 
, 9.565522099331663, 0.6695865469532164, 0.43447790066833836, 0.07, 10.0, 
, 9.565522099331663, 0.6695865469532164, 0.43447790066833836, 0.07, 10.0, 
, 9.565522099331663, 0.6695865469532164, 0.43447790066833836, 0.07, 10.0, 
, 9.420059814485759, 0.6594041870140032, 0.5799401855142408, 0.07, 10.0, 
, 9.420059814485759, 0.6594041870140032, 0.5799401855142408, 0.07, 10.0, 
, 9.26467096951914, 0.6485269678663398, 0.735329030480861, 0.07, 10.0, 
, 9.26467096951914, 0.6485269678663398, 0.735329030480861, 0.07, 10.0, 
, 9.26467096951914, 0.6485269678663398, 0.735329030480861, 0.07, 10.0, 
, 9.11348182306513, 0.6379437276145592, 0.8865181769348698, 0.07, 10.0, 
, 9.11348182306513, 0.6379437276145592, 0.8865181769348698, 0.07, 10.0, 
, 8.97031028286247, 0.627921719800373, 1.0296897171375297, 0.07, 10.0, 
, 8.97031028286247, 0.627921719800373, 1.0296897171375297, 0.07, 10.0, 
, 8.97031028286247, 0.627921719800373, 1.0296897171375297, 0.07, 10.0, 
, 8.81377606557423, 0.6169643245901961, 1.186223934425771, 0.07, 10.0, 
, 8.81377606557423, 0.6169643245901961, 1.186223934425771, 0.07, 10.0, 
, 8.651133195904007, 0.6055793237132806, 1.3488668040959926, 0.07, 10.0, 
, 8.651133195904007, 0.6055793237132806, 1.3488668040959926, 0.07, 10.0, 
, 8.651133195904007, 0.6055793237132806, 1.3488668040959926, 0.07, 10.0, 
, 8.494598978615766, 0.5946219285031037, 1.505401021384234, 0.07, 10.0, 
, 8.494598978615766, 0.5946219285031037, 1.505401021384234, 0.07, 10.0, 
, 8.351045647639232, 0.5845731953347463, 1.6489543523607675, 0.07, 10.0, 
, 8.351045647639232, 0.5845731953347463, 1.6489543523607675, 0.07, 10.0, 
, 8.351045647639232, 0.5845731953347463, 1.6489543523607675, 0.07, 10.0, 
, 8.204056199697835, 0.5742839339788485, 1.795943800302165, 0.07, 10.0, 
, 8.204056199697835, 0.5742839339788485, 1.795943800302165, 0.07, 10.0, 
, 8.204056199697835, 0.5742839339788485, 1.795943800302165, 0.07, 10.0, 
, 8.052867053243826, 0.5637006937270679, 1.9471329467561738, 0.07, 10.0, 
, 8.052867053243826, 0.5637006937270679, 1.9471329467561738, 0.07, 10.0, 
, 7.906641186850177, 0.5534648830795125, 2.0933588131498237, 0.07, 10.0, 
, 7.906641186850177, 0.5534648830795125, 2.0933588131498237, 0.07, 10.0, 
, 7.7638514374213905, 0.5434696006194973, 2.23614856257861, 0.07, 10.0, 
, 7.7638514374213905, 0.5434696006194973, 2.23614856257861, 0.07, 10.0, 
, 7.7638514374213905, 0.5434696006194973, 2.23614856257861, 0.07, 10.0, 
, 7.623352432635847, 0.5336346702845093, 2.376647567364153, 0.07, 10.0, 
, 7.623352432635847, 0.5336346702845093, 2.376647567364153, 0.07, 10.0, 
, 7.48858028945841, 0.5242006202620887, 2.5114197105415905, 0.07, 10.0, 
, 7.48858028945841, 0.5242006202620887, 2.5114197105415905, 0.07, 10.0, 
, 7.48858028945841, 0.5242006202620887, 2.5114197105415905, 0.07, 10.0, 
, 7.346172330803498, 0.5142320631562449, 2.653827669196503, 0.07, 10.0, 
, 7.346172330803498, 0.5142320631562449, 2.653827669196503, 0.07, 10.0, 
, 7.2079640706611965, 0.5045574849462838, 2.7920359293388035, 0.07, 10.0, 
, 7.2079640706611965, 0.5045574849462838, 2.7920359293388035, 0.07, 10.0, 
, 7.2079640706611965, 0.5045574849462838, 2.7920359293388035, 0.07, 10.0, 
, 7.0682286474234, 0.494776005319638, 2.9317713525766, 0.07, 10.0, 
, 7.0682286474234, 0.494776005319638, 2.9317713525766, 0.07, 10.0, 
, 6.945292018236049, 0.4861704412765235, 3.0547079817639506, 0.07, 10.0, 
, 6.945292018236049, 0.4861704412765235, 3.0547079817639506, 0.07, 10.0, 
, 6.945292018236049, 0.4861704412765235, 3.0547079817639506, 0.07, 10.0, 
, 6.804029431902759, 0.47628206023319314, 3.1959705680972412, 0.07, 10.0, 
, 6.804029431902759, 0.47628206023319314, 3.1959705680972412, 0.07, 10.0, 
, 6.679183848846039, 0.46754286941922274, 3.3208161511539607, 0.07, 10.0, 
, 6.679183848846039, 0.46754286941922274, 3.3208161511539607, 0.07, 10.0, 
, 6.679183848846039, 0.46754286941922274, 3.3208161511539607, 0.07, 10.0, 
, 6.679183848846039, 0.46754286941922274, 3.3208161511539607, 0.07, 10.0, 
, 6.55739259198031, 0.45901748143862175, 3.44260740801969, 0.07, 10.0, 
, 6.437510288983949, 0.4506257202288765, 3.5624897110160507, 0.07, 10.0, 
, 6.437510288983949, 0.4506257202288765, 3.5624897110160507, 0.07, 10.0, 
, 6.437510288983949, 0.4506257202288765, 3.5624897110160507, 0.07, 10.0, 
, 6.308083216640744, 0.44156582516485215, 3.691916783359255, 0.07, 10.0, 
, 6.308083216640744, 0.44156582516485215, 3.691916783359255, 0.07, 10.0, 
, 6.1870555413227635, 0.4330938878925935, 3.812944458677237, 0.07, 10.0, 
, 6.1870555413227635, 0.4330938878925935, 3.812944458677237, 0.07, 10.0, 
, 6.1870555413227635, 0.4330938878925935, 3.812944458677237, 0.07, 10.0, 
, 6.070609355291266, 0.4249426548703886, 3.9293906447087337, 0.07, 10.0, 
, 6.070609355291266, 0.4249426548703886, 3.9293906447087337, 0.07, 10.0, 
, 5.95416316925977, 0.41679142184818396, 4.04583683074023, 0.07, 10.0, 
, 5.95416316925977, 0.41679142184818396, 4.04583683074023, 0.07, 10.0, 
, 5.95416316925977, 0.41679142184818396, 4.04583683074023, 0.07, 10.0, 
, 5.842680263288631, 0.40898761843020426, 4.157319736711369, 0.07, 10.0, 
, 5.842680263288631, 0.40898761843020426, 4.157319736711369, 0.07, 10.0, 
, 5.728906612674251, 0.40102346288719765, 4.271093387325749, 0.07, 10.0, 
, 5.728906612674251, 0.40102346288719765, 4.271093387325749, 0.07, 10.0, 
, 5.728906612674251, 0.40102346288719765, 4.271093387325749, 0.07, 10.0, 
, 5.622386986763473, 0.3935670890734432, 4.377613013236527, 0.07, 10.0, 
, 5.622386986763473, 0.3935670890734432, 4.377613013236527, 0.07, 10.0, 
, 5.5162491516265675, 0.38613744061385974, 4.4837508483734325, 0.07, 10.0, 
, 5.5162491516265675, 0.38613744061385974, 4.4837508483734325, 0.07, 10.0, 
, 5.5162491516265675, 0.38613744061385974, 4.4837508483734325, 0.07, 10.0, 
, 5.412020270359031, 0.37884141892513223, 4.587979729640969, 0.07, 10.0, 
, 5.412020270359031, 0.37884141892513223, 4.587979729640969, 0.07, 10.0, 
, 5.306646016769873, 0.37146522117389114, 4.693353983230127, 0.07, 10.0, 
, 5.306646016769873, 0.37146522117389114, 4.693353983230127, 0.07, 10.0, 
, 5.306646016769873, 0.37146522117389114, 4.693353983230127, 0.07, 10.0, 
, 5.20776220633657, 0.3645433544435599, 4.79223779366343, 0.07, 10.0, 
, 5.20776220633657, 0.3645433544435599, 4.79223779366343, 0.07, 10.0, 
, 5.110023768224887, 0.35770166377574214, 4.889976231775113, 0.07, 10.0, 
, 5.110023768224887, 0.35770166377574214, 4.889976231775113, 0.07, 10.0, 
, 5.110023768224887, 0.35770166377574214, 4.889976231775113, 0.07, 10.0, 
, 5.0130489116609525, 0.3509134238162667, 4.9869510883390475, 0.07, 10.0, 
, 5.0130489116609525, 0.3509134238162667, 4.9869510883390475, 0.07, 10.0, 
, 4.920273753609629, 0.34441916275267404, 5.079726246390371, 0.07, 10.0, 
, 4.920273753609629, 0.34441916275267404, 5.079726246390371, 0.07, 10.0, 
, 4.920273753609629, 0.34441916275267404, 5.079726246390371, 0.07, 10.0, 
, 4.829789340201548, 0.33808525381410837, 5.170210659798452, 0.07, 10.0, 
, 4.829789340201548, 0.33808525381410837, 5.170210659798452, 0.07, 10.0, 
, 4.73663239137635, 0.33156426739634454, 5.26336760862365, 0.07, 10.0, 
, 4.73663239137635, 0.33156426739634454, 5.26336760862365, 0.07, 10.0, 
, 4.73663239137635, 0.33156426739634454, 5.26336760862365, 0.07, 10.0, 
, 4.646911559516017, 0.3252838091661212, 5.353088440483983, 0.07, 10.0, 
, 4.646911559516017, 0.3252838091661212, 5.353088440483983, 0.07, 10.0, 
, 4.55489998301244, 0.31884299881087086, 5.44510001698756, 0.07, 10.0, 
, 4.55489998301244, 0.31884299881087086, 5.44510001698756, 0.07, 10.0, 
, 4.55489998301244, 0.31884299881087086, 5.44510001698756, 0.07, 10.0, 
, 4.469378849664718, 0.3128565194765303, 5.530621150335282, 0.07, 10.0, 
, 4.469378849664718, 0.3128565194765303, 5.530621150335282, 0.07, 10.0, 
, 4.469378849664718, 0.3128565194765303, 5.530621150335282, 0.07, 10.0, 
, 4.389584577925103, 0.30727092045475723, 5.610415422074897, 0.07, 10.0, 
, 4.389584577925103, 0.30727092045475723, 5.610415422074897, 0.07, 10.0, 
, 4.310935678507109, 0.30176549749549764, 5.689064321492891, 0.07, 10.0, 
, 4.310935678507109, 0.30176549749549764, 5.689064321492891, 0.07, 10.0, 
, 4.227705289802628, 0.295939370286184, 5.772294710197372, 0.07, 10.0, 
, 4.227705289802628, 0.295939370286184, 5.772294710197372, 0.07, 10.0, 
, 4.227705289802628, 0.295939370286184, 5.772294710197372, 0.07, 10.0, 
, 4.149056390384635, 0.29043394732692446, 5.850943609615365, 0.07, 10.0, 
, 4.149056390384635, 0.29043394732692446, 5.850943609615365, 0.07, 10.0, 
, 4.070025700192766, 0.28490179901349366, 5.929974299807234, 0.07, 10.0, 
, 4.070025700192766, 0.28490179901349366, 5.929974299807234, 0.07, 10.0, 
, 4.070025700192766, 0.28490179901349366, 5.929974299807234, 0.07, 10.0, 
, 3.995194708513509, 0.27966362959594565, 6.004805291486491, 0.07, 10.0, 
, 3.995194708513509, 0.27966362959594565, 6.004805291486491, 0.07, 10.0, 
, 3.9199819260603785, 0.2743987348242265, 6.0800180739396215, 0.07, 10.0, 
, 3.9199819260603785, 0.2743987348242265, 6.0800180739396215, 0.07, 10.0, 
, 3.9199819260603785, 0.2743987348242265, 6.0800180739396215, 0.07, 10.0, 
, 3.8443873528333743, 0.2691071146983362, 6.155612647166626, 0.07, 10.0, 
, 3.8443873528333743, 0.2691071146983362, 6.155612647166626, 0.07, 10.0, 
, 3.778719339727088, 0.26451035378089616, 6.221280660272912, 0.07, 10.0, 
, 3.778719339727088, 0.26451035378089616, 6.221280660272912, 0.07, 10.0, 
, 3.778719339727088, 0.26451035378089616, 6.221280660272912, 0.07, 10.0, 
, 3.7080880465604427, 0.259566163259231, 6.291911953439557, 0.07, 10.0, 
, 3.7080880465604427, 0.259566163259231, 6.291911953439557, 0.07, 10.0, 
, 3.6431836150019024, 0.25502285305013317, 6.356816384998098, 0.07, 10.0, 
, 3.6431836150019024, 0.25502285305013317, 6.356816384998098, 0.07, 10.0, 
, 3.6431836150019024, 0.25502285305013317, 6.356816384998098, 0.07, 10.0, 
, 3.576752020347868, 0.2503726414243508, 6.423247979652132, 0.07, 10.0, 
, 3.576752020347868, 0.2503726414243508, 6.423247979652132, 0.07, 10.0, 
, 3.504211773311855, 0.24529482413182987, 6.495788226688145, 0.07, 10.0, 
, 3.504211773311855, 0.24529482413182987, 6.495788226688145, 0.07, 10.0, 
, 3.504211773311855, 0.24529482413182987, 6.495788226688145, 0.07, 10.0, 
, 3.443125249492053, 0.24101876746444373, 6.556874750507947, 0.07, 10.0, 
, 3.443125249492053, 0.24101876746444373, 6.556874750507947, 0.07, 10.0, 
, 3.380511562576757, 0.236635809380373, 6.619488437423243, 0.07, 10.0, 
, 3.380511562576757, 0.236635809380373, 6.619488437423243, 0.07, 10.0, 
, 3.380511562576757, 0.236635809380373, 6.619488437423243, 0.07, 10.0, 
, 3.3205704110785756, 0.23243992877550032, 6.679429588921424, 0.07, 10.0, 
, 3.3205704110785756, 0.23243992877550032, 6.679429588921424, 0.07, 10.0, 
, 3.2591020964849005, 0.22813714675394306, 6.7408979035150995, 0.07, 10.0, 
, 3.2591020964849005, 0.22813714675394306, 6.7408979035150995, 0.07, 10.0, 
, 3.2591020964849005, 0.22813714675394306, 6.7408979035150995, 0.07, 10.0, 
, 3.198779154212847, 0.2239145407948993, 6.801220845787153, 0.07, 10.0, 
, 3.198779154212847, 0.2239145407948993, 6.801220845787153, 0.07, 10.0, 
, 3.1399833750362873, 0.21979883625254013, 6.860016624963713, 0.07, 10.0, 
, 3.1399833750362873, 0.21979883625254013, 6.860016624963713, 0.07, 10.0, 
, 3.1399833750362873, 0.21979883625254013, 6.860016624963713, 0.07, 10.0, 
, 3.0811875958597295, 0.21568313171018108, 6.9188124041402705, 0.07, 10.0, 
, 3.0811875958597295, 0.21568313171018108, 6.9188124041402705, 0.07, 10.0, 
, 3.0296458413867713, 0.212075208897074, 6.970354158613229, 0.07, 10.0, 
, 3.0296458413867713, 0.212075208897074, 6.970354158613229, 0.07, 10.0, 
, 3.0296458413867713, 0.212075208897074, 6.970354158613229, 0.07, 10.0, 
, 2.973140806853455, 0.20811985647974188, 7.026859193146545, 0.07, 10.0, 
, 2.973140806853455, 0.20811985647974188, 7.026859193146545, 0.07, 10.0, 
, 2.9189265169633813, 0.2043248561874367, 7.081073483036619, 0.07, 10.0, 
, 2.9189265169633813, 0.2043248561874367, 7.081073483036619, 0.07, 10.0, 
, 2.9189265169633813, 0.2043248561874367, 7.081073483036619, 0.07, 10.0, 
, 2.868530134812045, 0.20079710943684317, 7.131469865187955, 0.07, 10.0, 
, 2.868530134812045, 0.20079710943684317, 7.131469865187955, 0.07, 10.0, 
, 2.814697635695845, 0.19702883449870917, 7.185302364304155, 0.07, 10.0, 
, 2.814697635695845, 0.19702883449870917, 7.185302364304155, 0.07, 10.0, 
, 2.814697635695845, 0.19702883449870917, 7.185302364304155, 0.07, 10.0, 
, 2.7662102074138772, 0.19363471451897143, 7.233789792586123, 0.07, 10.0, 
, 2.7662102074138772, 0.19363471451897143, 7.233789792586123, 0.07, 10.0, 
, 2.718868151453531, 0.1903207706017472, 7.281131848546469, 0.07, 10.0, 
, 2.718868151453531, 0.1903207706017472, 7.281131848546469, 0.07, 10.0, 
, 2.718868151453531, 0.1903207706017472, 7.281131848546469, 0.07, 10.0, 
, 2.6699989323976894, 0.18689992526783827, 7.330001067602311, 0.07, 10.0, 
, 2.6699989323976894, 0.18689992526783827, 7.330001067602311, 0.07, 10.0, 
, 2.6226568764373432, 0.18358598135061405, 7.377343123562657, 0.07, 10.0, 
, 2.6226568764373432, 0.18358598135061405, 7.377343123562657, 0.07, 10.0, 
